,,,,,,,,,,,,,,,,Benchmark  /  Model MLC  /  Scenario  /  Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Inference,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3d-unet-99,3d-unet-99.9,dlrm-v2-99,,dlrm-v2-99.9,,gptj-99,,gptj-99.9,,llama2-70b-99,,llama2-70b-99.9,,llama2-70b-interactive-99,,llama2-70b-interactive-99.9,,llama3.1-405b,,mixtral-8x7b,,resnet,,retinanet,,rgat,stable-diffusion-xl,
,,,,,,,,,,,,,,,,Offline,Offline,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Offline,Server
Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor (click + for details),# of  Processors ,Accelerator (click + for details),# of Accelerators,Availability,Accelerator (click + for details),Host Processor Core Count,Processor (click + for details),Sum of # of  Processors ,Division/Power,,Samples/s,Samples/s,Samples/s,Queries/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Samples/s,Queries/s,Samples/s,Samples/s,Queries/s
5.0-0019,Dell,available,Dell PowerEdge XE9680L (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8580,2,NVIDIA H200-SXM-141GB,8,available,NVIDIA H200-SXM-141GB,120,INTEL(R) XEON(R) PLATINUM 8580,2,Closed ,# of Accelerators,8,8,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,8,8
,,,,,,,,,,,,,,,# of Nodes,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
,,,,,,,,,,,,,,,Avg. Result at System Name,54.67,54.67,,,,,"21,406.80","21,455.90","21,406.80","21,455.90","34,763.20","33,023.50","34,763.20","33,023.50","34,538.40","19,415.90","34,538.40","19,415.90",559.21,291.49,"62,042.20","58,972.60","765,417.00","632,200.00","14,794.40","13,588.80",,19.26,16.68
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2
5.0-0020,Dell,available,Dell PowerEdge XE9680 (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8468,2,NVIDIA H100-SXM-80GB,8,available,NVIDIA H100-SXM-80GB,48,Intel(R) Xeon(R) Platinum 8468,2,Closed ,# of Accelerators,8,8,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,
,,,,,,,,,,,,,,,# of Nodes,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,51.54,51.54,,,,,"20,663.70","21,134.40","20,663.70","21,134.40","31,216.80","30,903.64","31,216.80","30,903.64","30,989.50","12,979.40","30,989.50","12,979.40",397.31,277.13,,,,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,
5.0-0021,Dell,available,Dell PowerEdge XE9680 (8xH200-SXM-141GBx8 TensorRT),1,INTEL(R) XEON(R) PLATINUM 8568Y+,2,NVIDIA H200-SXM-141GB,8,available,NVIDIA H200-SXM-141GB,48,INTEL(R) XEON(R) PLATINUM 8568Y+,2,Closed ,# of Accelerators,8,8,,,,,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,8,8,,8,8
,,,,,,,,,,,,,,,# of Nodes,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,,1,1
